channel_id,channel_title
UCv-Nx8pSfG_LxbViMz14RWQ,Jovem Pan Esportes
UC896QaWKoSGdZTmy9rHyU_g,Esporte na Band
UC3KHYFWeB0WimMBfm3NEahQ,UOL Esporte
UCVHCOrYd4KABtC1mtqiJI6w,Esportes
UCqifkpdmE1z3VhfQoJzwpJQ,Cruzeiro Esporte Clube
UCxERJM046RIRgl5cH-ss3yw,CNN Esportes
UCF1XteIenJWjnGTGqb6heSw,Esporte Na Cultura
UCasU7mePJH0W0uzkVle9XGQ,Ministério do Esporte
UCezhRry1J2kNRNCdNDHimNA,Itatiaia Esporte
UCf69PDS9TfGvwbFWcjr4eaQ,Alterosa Esporte
UC84-NUu0iJzfY5eU7nu8soA,Esporte Por Esporte - SANTOS  FC
UCGcUVHyLqNKWPHfOwzJOiig,Esporte Play
UCitSwPibLWzfls_yjz7JBqg,Baixada Esporte
UCFjb_iV8RMt0qDS1TgSH5Wg,Arquibancada Esporte Clube
UCDoUNRSo1gArmS2ygB2uBaA,Goiás Esporte Clube
UCajU2T1qJEFblVLUzoXuDIA,Band Esporte Clube
UCnvMjCptspOne0ztN7z-KHg,Cuiabá Esporte Clube
UC5B-B8mp23wFK0xcTKR7g4A,Esporte Campeão
UCSHYhWUlvgqX9DxJkFAO0cQ,Esporte sp
UCJyEQeL8axfQ9dLdesIEb8A,Carro Esporte Clube
